date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:04:56	77/77	---MCZ	200	added ('OK')	text/plain	etag:W/%22660178a6-3d%22	https://demo.wedew.id/robots.txt		(from )
19:05:11	40644/40644	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Apr%202024%2012:04:54%20GMT	https://demo.wedew.id/?theme_preview=flower-gold	/home/jona/websites/asdasd/demo.wedew.id/index500e.html	(from )
19:05:16	34663/34663	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Apr%202024%2012:05:14%20GMT	https://demo.wedew.id/	/home/jona/websites/asdasd/demo.wedew.id/index.html	(from https://demo.wedew.id/?theme_preview=flower-gold)
19:05:27	1394/1394	---M--	200	added ('OK')	image/png	etag:%22660178a5-572%22	https://wedew.id/favicon-32x32.png	/home/jona/websites/asdasd/wedew.id/favicon-32x32.png	(from https://demo.wedew.id/?theme_preview=flower-gold)
19:05:33	614/614	---M--	200	added ('OK')	image/png	etag:%22660178a5-266%22	https://wedew.id/favicon-16x16.png	/home/jona/websites/asdasd/wedew.id/favicon-16x16.png	(from https://demo.wedew.id/?theme_preview=flower-gold)
19:05:33	9962/9962	---M--	200	added ('OK')	image/png	etag:%22660178a5-26ea%22	https://wedew.id/apple-touch-icon.png	/home/jona/websites/asdasd/wedew.id/apple-touch-icon.png	(from https://demo.wedew.id/?theme_preview=flower-gold)
19:05:33	473/473	---M--	200	added ('OK')	application/octet-stream	etag:%22660178a6-1d9%22	https://wedew.id/site.webmanifest	/home/jona/websites/asdasd/wedew.id/site.webmanifest	(from https://demo.wedew.id/?theme_preview=flower-gold)
19:05:36	650/650	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22660178a6-28a%22	https://wedew.id/safari-pinned-tab.svg	/home/jona/websites/asdasd/wedew.id/safari-pinned-tab.svg	(from https://demo.wedew.id/?theme_preview=flower-gold)
19:05:41	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2013%20Apr%202024%2012:05:37%20GMT	https://www.googletagmanager.com/gtm.js?id=	/home/jona/websites/asdasd/www.googletagmanager.com/gtm.55445.delayed	(from https://demo.wedew.id/?theme_preview=flower-gold)
19:05:47	401/401	---MC-	200	added ('OK')	text/css	date:Sat,%2013%20Apr%202024%2012:05:47%20GMT	https://fonts.googleapis.com/css?family=Indie+Flower:100,400,700,900|Kaushan+Script:100,400,700,900	/home/jona/websites/asdasd/fonts.googleapis.com/cssac3e.css	(from https://demo.wedew.id/?theme_preview=flower-gold)
19:05:48	257960/257960	---MCZ	200	added ('OK')	text/css	etag:W/%22f8907b50e36592d4c44e78f59490a85b%22	https://wedew.id/combine/f8907b50e36592d4c44e78f59490a85b-1709119694.css	/home/jona/websites/asdasd/wedew.id/combine/f8907b50e36592d4c44e78f59490a85b-1709119694.css	(from https://demo.wedew.id/?theme_preview=flower-gold)
19:05:50	13245/13245	---MCZ	200	added ('OK')	text/css	etag:W/%221e0a1e330f52996b34e9cda342217bc8%22	https://wedew.id/combine/1e0a1e330f52996b34e9cda342217bc8-1709119697.css	/home/jona/websites/asdasd/wedew.id/combine/1e0a1e330f52996b34e9cda342217bc8-1709119697.css	(from https://demo.wedew.id/?theme_preview=flower-gold)
19:05:51	11187/11187	---MCZ	200	added ('OK')	text/css	etag:W/%22b274fe9493df9fdc58140bd9ed498468%22	https://wedew.id/combine/b274fe9493df9fdc58140bd9ed498468-1709119693.css	/home/jona/websites/asdasd/wedew.id/combine/b274fe9493df9fdc58140bd9ed498468-1709119693.css	(from https://demo.wedew.id/?theme_preview=flower-gold)
19:05:52	2278/2278	---MCZ	200	added ('OK')	text/css	etag:W/%22b4a29c047ca1f32182764ccc93d4cbee%22	https://wedew.id/combine/b4a29c047ca1f32182764ccc93d4cbee-1709119696.css	/home/jona/websites/asdasd/wedew.id/combine/b4a29c047ca1f32182764ccc93d4cbee-1709119696.css	(from https://demo.wedew.id/?theme_preview=flower-gold)
19:06:02	204809/204809	---M--	200	added ('OK')	image/png	etag:%22fba9a02c6f132b5a7e72aab9ff40f698%22	https://storage.wedew.id/uploads/public/659/8f7/575/6598f7575e5b0578201720.png	/home/jona/websites/asdasd/storage.wedew.id/uploads/public/659/8f7/575/6598f7575e5b0578201720.png	(from https://demo.wedew.id/?theme_preview=flower-gold)
19:06:03	96401/96401	---M--	200	added ('OK')	image/png	etag:%222aa2ba88d433fd29b9bec0d5df5432ae%22	https://storage.wedew.id/uploads/public/659/8f7/575/6598f7575cc72267272146.png	/home/jona/websites/asdasd/storage.wedew.id/uploads/public/659/8f7/575/6598f7575cc72267272146.png	(from https://demo.wedew.id/?theme_preview=flower-gold)
19:06:07	9361/9361	---M--	200	added ('OK')	image/jpeg	etag:%22047175cca28c3fc4aeb9173f956770ce%22	https://storage.wedew.id/uploads/public/638/36d/477/thumb_1975581_480_480_0_0_crop.jpg	/home/jona/websites/asdasd/storage.wedew.id/uploads/public/638/36d/477/thumb_1975581_480_480_0_0_crop.jpg	(from https://demo.wedew.id/?theme_preview=flower-gold)
19:06:09	22619/22619	---M--	200	added ('OK')	image/png	etag:%229b9f4142a4ef03db6c40671ccfe67ac2%22	https://storage.wedew.id/uploads/public/659/8f0/c43/thumb_2332914_0_400_0_0_auto.png	/home/jona/websites/asdasd/storage.wedew.id/uploads/public/659/8f0/c43/thumb_2332914_0_400_0_0_auto.png	(from https://demo.wedew.id/?theme_preview=flower-gold)
19:06:11	15008/15008	---M--	200	added ('OK')	image/jpeg	etag:%22fd5f943051f215c4ae43e01c253922be%22	https://storage.wedew.id/uploads/public/638/36e/49a/thumb_1975596_800_600_0_0_auto.jpg	/home/jona/websites/asdasd/storage.wedew.id/uploads/public/638/36e/49a/thumb_1975596_800_600_0_0_auto.jpg	(from https://demo.wedew.id/?theme_preview=flower-gold)
19:06:13	4134/4134	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b53921ac13070d6450471f81669e5e2d%22	https://wedew.id/combine/b53921ac13070d6450471f81669e5e2d-1709119694.js	/home/jona/websites/asdasd/wedew.id/combine/b53921ac13070d6450471f81669e5e2d-1709119694.js	(from https://demo.wedew.id/?theme_preview=flower-gold)
19:06:22	5229/5229	---M--	200	added ('OK')	image/jpeg	etag:%220%22	http://img.youtube.com/vi/eRaLce0oIr8/hqdefault.jpg	/home/jona/websites/asdasd/img.youtube.com/vi/eRaLce0oIr8/hqdefault.jpg	(from https://demo.wedew.id/?theme_preview=flower-gold)
19:06:22	1890/1890	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22660178a6-762%22	https://wedew.id/plugins/wedew/website/websiteblocks/covid/assets/covid-wash-hand.svg	/home/jona/websites/asdasd/wedew.id/plugins/wedew/website/websiteblocks/covid/assets/covid-wash-hand.svg	(from https://demo.wedew.id/?theme_preview=flower-gold)
19:06:24	3724/3724	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22660178a6-e8c%22	https://wedew.id/plugins/wedew/website/websiteblocks/covid/assets/covid-wear-mask.svg	/home/jona/websites/asdasd/wedew.id/plugins/wedew/website/websiteblocks/covid/assets/covid-wear-mask.svg	(from https://demo.wedew.id/?theme_preview=flower-gold)
19:06:26	147363/147363	---MCZ	200	added ('OK')	application/javascript	etag:W/%222e96bb7b1729f55719416f237fa5bf26%22	https://wedew.id/combine/2e96bb7b1729f55719416f237fa5bf26-1709119696.js	/home/jona/websites/asdasd/wedew.id/combine/2e96bb7b1729f55719416f237fa5bf26-1709119696.js	(from https://demo.wedew.id/?theme_preview=flower-gold)
19:06:26	7213/7213	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22660178a6-1c2d%22	https://wedew.id/plugins/wedew/website/websiteblocks/covid/assets/covid-dont-handshake.svg	/home/jona/websites/asdasd/wedew.id/plugins/wedew/website/websiteblocks/covid/assets/covid-dont-handshake.svg	(from https://demo.wedew.id/?theme_preview=flower-gold)
